ID,Genuine,SocPrivConc,InstPrivConc,Narcissism,SelfEsteem,Loneliness,Hookup,Friends,Partner,Travel,SelfValidation,Entertainment,Orientation,Gender,Education,Income,Employment,Age,ImpFitness,ImpEnergy,ImpAttractive
Subj57,-0.5,1,1,1.75,3.4,2.71,1,4,2.333333333,3,1,4,1,2,4,2,1,23,8,3,1
Subj310,-0.25,1.5,2.75,2.5,4,3.52,4,1.5,4,3.333333333,1,4,1,1,3,2,2,43,10,8,2
Subj303,1.5,3.75,4,1,3.4,3.27,3.25,4.25,3,2.666666667,4.5,5,3,2,2,2,2,21,10,6,1
Subj309,4,5,5,1.5,4.2,2.94,1,4.5,1,4,1,5,1,2,2,1,1,38,4,6,1
Subj426,2,2.25,3,2,2.2,4.19,5,3.5,4,4,3.5,4.333333333,1,1,4,1,2,29,5,8,9
Subj316,1.75,3.5,2.75,2.75,2.2,1.98,4.5,2,3,2.666666667,2,4,1,1,4,2,1,32,1,2,4
Subj5,2.5,2,2,3,3.2,2.98,3.75,1.75,4,1,1,1,1,1,4,1,2,23,8,5,1
Subj115,2,2.25,3,3,4,1,3.5,4,4,2,2,3.666666667,1,2,2,2,1,38,6,2,1
Subj327,0.5,1,1,2.25,3.8,1.1,2.75,2.5,2,2,2,4,1,1,2,1,2,22,7,8,3
Subj252,-2,1,3.75,3,2,2.79,4,3,2.666666667,3.333333333,4,3.666666667,3,1,5,3,1,43,5,4,2
Subj339,-1.5,4.25,4.5,2,3.8,2.57,2,4.25,4.666666667,4,4,4.333333333,1,2,3,1,1,38,10,8,1
Subj266,-0.75,4.5,5,2.25,3.6,3.04,2.5,3.75,2.333333333,3.333333333,4,3.666666667,1,1,5,2,1,39,8,3,1
Subj138,0,2.25,2.5,3.5,2.6,1.55,4.75,4,4,2.666666667,4,4,1,1,4,2,1,29,4,8,1
Subj448,2.5,4,4,2.5,5,2.18,3,4,4,3,4,4.333333333,1,2,5,2,1,31,4,10,3
Subj142,-1.25,1,1,2.25,4.8,1.14,2,1.25,1,1,5,5,1,1,4,2,2,24,7,9,2
Subj405,2.25,1,1.5,2,4.2,2.5,4.75,4.5,4.333333333,5,2,4.666666667,4,1,2,1,1,23,5,10,1
Subj486,1,2,2,3.5,4,3.58,4,4,4,4,4,4,1,2,3,2,1,29,8,7,1
Subj129,1.75,2,3.25,3.25,4,2.61,3.5,3,4.333333333,2.666666667,2.5,4.333333333,3,1,2,2,2,29,7,4,2
Subj90,2.5,2.25,2.25,2.25,4,1.35,4,2.25,5,3,1,3,1,2,4,2,1,24,8,2,5
Subj112,0,2,1.5,3.5,3.6,1.88,3,4.25,3.333333333,3.666666667,4,3.666666667,1,2,5,2,1,28,7,9,2
Subj152,3.25,3.5,4,2.5,4.4,2.05,4.75,4,4,4,4,4,1,1,3,2,6,22,6,8,1
Subj145,0.25,1.75,2,2.75,3.2,2.75,5,2,3.333333333,4.666666667,2,4.333333333,1,1,3,1,1,27,5,8,2
Subj76,0.5,3,3,1.75,3.8,2.91,4.25,3.5,4,4.333333333,2.5,3.333333333,2,1,2,2,1,31,5,8,3
Subj19,2.25,2,2.25,3.5,4,1.08,4.25,3.75,3.333333333,2.666666667,5,5,2,1,4,2,1,35,8,7,1
Subj104,3.25,1.5,2,1.25,4,1.42,5,1.75,3.666666667,2,3,3.333333333,1,2,3,2,1,29,5,2,1
Subj384,-0.75,4,3.25,2,3.4,4.18,4,4,2,4.333333333,4,3.666666667,1,1,3,1,2,21,5,7,1
Subj249,0,3.25,3.25,3,3.2,2.5,4,3,3.666666667,2.666666667,4,4.666666667,3,1,4,3,1,28,10,3,1
Subj431,0.5,2.5,2.5,2,3.8,1.38,2.75,2.5,4,2.333333333,4,4,1,2,4,2,1,28,8,5,1
Subj391,4,1,1,2.25,5,1,5,1.25,3.333333333,4.333333333,4,4.333333333,1,1,4,2,1,26,8,7,1
Subj22,2.75,1.5,3.5,3.5,5,2.52,2,4.5,3,3.666666667,1,4,3,2,3,1,6,22,4,2,7
Subj214,1,1.5,1,3.5,2.8,5,1,1,4,1,4,4,1,2,4,1,2,31,5,8,1
Subj124,0,3,3.25,2.75,3,2.62,2.75,3.25,3,3,2.5,3,1,1,3,2,2,27,2,4,3
Subj484,0.75,2.25,3.25,2,4.4,1.08,1,3.5,1,1,3,2.333333333,1,1,3,1,1,54,7,5,9
Subj236,0.75,1.75,3.5,2.5,3.2,3.06,5,3.75,3.666666667,3.666666667,2,3.666666667,1,1,3,2,1,31,6,4,2
Subj85,0,1,1.5,2,4,1.9,4,3,3.333333333,3.666666667,3.5,3.666666667,1,1,4,2,1,27,2,3,8
Subj352,-0.5,3.5,4.5,2,4.4,3.71,3.75,3.75,3.333333333,3.666666667,4,4,1,2,3,1,6,25,3,8,1
Subj93,-0.25,2.5,3.25,3.25,2.8,2.8,2.75,2.75,3,3,3,3,1,1,5,2,1,42,2,7,1
Subj120,-1.75,2,2,3.25,4,2.34,4,2.5,4,4,3,4,1,1,2,2,1,29,8,10,1
Subj457,-1.25,3.75,3.5,1.5,4.2,2.52,1.5,3.5,3.666666667,3.333333333,4,4.666666667,1,2,6,2,1,31,5,10,1
Subj371,3,3,3,2,5,4.12,2.75,4.75,3.666666667,4.333333333,2,4,1,1,3,1,1,30,7,5,10
Subj254,3.75,3.25,2.25,1.75,5,1,4,2.5,2.666666667,2,2.5,3.333333333,3,2,2,2,1,24,8,6,2
Subj296,-0.5,3.25,4.75,2,2.6,4.19,4,1.75,3.666666667,3.333333333,4,4.666666667,1,1,4,1,1,33,7,5,3
Subj143,0.25,2.25,2.5,1.25,3.4,1,3.75,2,4.666666667,4.666666667,4,3.333333333,1,2,3,2,1,22,6,3,7
Subj283,3.5,2.25,2.25,1.25,2.8,4.3,5,4.25,4.333333333,4,3,5,4,2,3,2,2,32,4,3,1
Subj150,0,3,3,2.75,3.6,2.72,3.75,3.25,3.333333333,3,2,2.666666667,1,1,4,1,1,32,10,5,3
Subj228,1.25,3.75,4.25,2.25,2.4,3.53,1,3.25,1,1.333333333,2,3.333333333,1,2,4,2,1,33,6,5,3
Subj307,-0.75,2.25,2.75,2.25,3,3.4,2.25,3,4,3,4,3.666666667,1,2,5,2,1,29,6,9,1
Subj219,2.25,1,2,2,4,1.37,4.75,2.5,4,1,1,2,3,2,4,2,2,35,10,5,2
Subj110,2,5,4.5,1,4.4,3.5,2.5,1,5,2,1,3.666666667,1,2,3,1,2,54,8,3,1
Subj344,2,3.25,4.5,3.75,4,1.4,5,3.75,4,4,4,4,3,1,5,3,1,46,3,7,1
Subj34,0,2.75,2.5,2,4.8,2.85,4.5,3.25,3.666666667,3.333333333,3.5,3.666666667,1,1,5,2,1,27,6,4,1
Subj139,2,3,2.5,4,4,3.4,4,3,3.666666667,4,3,4.666666667,1,1,6,2,2,34,1,5,3
Subj320,-0.75,4,3.5,3,4.6,1.55,5,4,4,5,5,5,1,1,5,2,1,37,9,5,2
